date,day,box,GUD,pGUD,Lat,Long,WUI
2/3/2024,1,1,312,100,42.22893,-121.82017,56
2/3/2024,1,2,308,98.7,42.22924,-121.82066,37
2/3/2024,1,3,312,100,42.2289,-121.82139,64
2/3/2024,1,4,312,100,42.229,-121.82162,58
2/3/2024,1,5,312,100,42.22806,-121.82024,140
2/3/2024,1,6,312,100,42.22775,-121.82015,177
2/3/2024,1,7,312,100,42.22691,-121.81887,195
2/3/2024,1,8,312,100,42.2266,-121.81888,222
2/3/2024,1,9,312,100,42.22625,-121.81837,222
2/3/2024,1,10,312,100,42.22652,-121.81757,206
2/4/2024,2,1,0,0,42.22893,-121.82017,56
2/4/2024,2,2,0,0,42.22924,-121.82066,37
2/4/2024,2,3,199,63.8,42.2289,-121.82139,64
2/4/2024,2,4,252,80.8,42.229,-121.82162,58
2/4/2024,2,5,113,36.2,42.22806,-121.82024,140
2/4/2024,2,6,60,19.2,42.22775,-121.82015,177
2/4/2024,2,7,298,95.5,42.22691,-121.81887,195
2/4/2024,2,8,274,87.8,42.2266,-121.81888,222
2/4/2024,2,9,107,34.3,42.22625,-121.81837,222
2/4/2024,2,10,261,83.7,42.22652,-121.81757,206
2/5/2024,3,1,2,0.6,42.22893,-121.82017,56
2/5/2024,3,2,2,0.6,42.22924,-121.82066,37
2/5/2024,3,3,2,0.6,42.2289,-121.82139,64
2/5/2024,3,4,2,0.6,42.229,-121.82162,58
2/5/2024,3,5,75,24,42.22806,-121.82024,140
2/5/2024,3,6,12,3.8,42.22775,-121.82015,177
2/5/2024,3,7,280,89.7,42.22691,-121.81887,195
2/5/2024,3,8,69,22.1,42.2266,-121.81888,222
2/5/2024,3,9,312,100,42.22625,-121.81837,222
2/5/2024,3,10,223,71.5,42.22652,-121.81757,206
2/6/2024,4,1,2,0.6,42.22893,-121.82017,56
2/6/2024,4,2,5,1.6,42.22924,-121.82066,37
2/6/2024,4,3,4,1.3,42.2289,-121.82139,64
2/6/2024,4,4,8,2.6,42.229,-121.82162,58
2/6/2024,4,5,312,100,42.22806,-121.82024,140
2/6/2024,4,6,2,0.6,42.22775,-121.82015,177
2/6/2024,4,7,304,97.4,42.22691,-121.81887,195
2/6/2024,4,8,263,84.3,42.2266,-121.81888,222
2/6/2024,4,9,278,89.1,42.22625,-121.81837,222
2/6/2024,4,10,300,96.2,42.22652,-121.81757,206
2/7/2024,5,1,0,0,42.22893,-121.82017,56
2/7/2024,5,2,0,0,42.22924,-121.82066,37
2/7/2024,5,3,0,0,42.2289,-121.82139,64
2/7/2024,5,4,10,3.2,42.229,-121.82162,58
2/7/2024,5,5,290,92.9,42.22806,-121.82024,140
2/7/2024,5,6,236,75.6,42.22775,-121.82015,177
2/7/2024,5,7,287,92,42.22691,-121.81887,195
2/7/2024,5,8,64,20.5,42.2266,-121.81888,222
2/7/2024,5,9,312,100,42.22625,-121.81837,222
2/7/2024,5,10,294,94.2,42.22652,-121.81757,206
2/8/2024,6,1,69,22.1,42.22893,-121.82017,56
2/8/2024,6,2,73,23.4,42.22924,-121.82066,37
2/8/2024,6,3,0,0,42.2289,-121.82139,64
2/8/2024,6,4,5,1.6,42.229,-121.82162,58
2/8/2024,6,5,312,100,42.22806,-121.82024,140
2/8/2024,6,6,133,42.6,42.22775,-121.82015,177
2/8/2024,6,7,215,68.9,42.22691,-121.81887,195
2/8/2024,6,8,112,35.9,42.2266,-121.81888,222
2/8/2024,6,9,312,100,42.22625,-121.81837,222
2/8/2024,6,10,185,59.3,42.22652,-121.81757,206
2/9/2024,7,1,0,0,42.22893,-121.82017,56
2/9/2024,7,2,0,0,42.22924,-121.82066,37
2/9/2024,7,3,0,0,42.2289,-121.82139,64
2/9/2024,7,4,42,13.5,42.229,-121.82162,58
2/9/2024,7,5,312,100,42.22806,-121.82024,140
2/9/2024,7,6,202,64.7,42.22775,-121.82015,177
2/9/2024,7,7,297,95.2,42.22691,-121.81887,195
2/9/2024,7,8,160,51.3,42.2266,-121.81888,222
2/9/2024,7,9,312,100,42.22625,-121.81837,222
2/9/2024,7,10,261,83.7,42.22652,-121.81757,206
