ID,Origin,d13C,d15N
0852-26388,OK,-30.04927618,5.941617428
10732,OK,-28.60969181,7.067029
1352-32155 SS,OK,-26.09002779,9.670423
10733,OK,-26.05920266,6.677419
1352-32157SS,OK,-25.91896738,5.6826028
0852-26376,OK,-25.80817353,5.385406635
0852-26381,OK,-25.77462157,5.564465511
10743,OK,-25.69563367,6.061179377
10742,OK,-25.24641812,6.94615
0852-26375,OK,-25.22793202,6.248267852
10731,OK,-25.21560546,4.430668
10734,OK,-25.13291758,10.018075
0852-26378,OK,-25.03303381,6.791623658
0852-26389,OK,-24.8936302,7.266075458
0852-26372,OK,-24.85268373,5.845265877
1352-32159 SS,OK,-24.52435806,7.07602
0852-26371,OK,-24.4383472,5.14147856
1352-32161 SS,OK,-24.42933547,7.166929
0852-26380,OK,-24.13199379,5.26493694
1352-32133 SS,OK,-23.97110241,4.889209
1352-32134 SS,OK,-23.91529276,7.131964
0852-26379,OK,-23.51469009,6.276572995
0852-26374,OK,-23.2412272,4.654860736
1422-02216,OR,-24.61,8.31
1422-02216,OR,-24.67,8.24
1422-02219,OR,-23.81,11.95
1422-02219 ,OR,-23.62,11.26
1422-02220,OR,-22.73,14.93
1422-02220,OR,-22.25,15.28
1422-02221,OR,-25.73,8.5
1422-02221,OR,-25.27,9.18
1422-02251,OR,-21.88,15.33
1422-02251,OR,-22.51,15.83
1272-31742,OR,-18.29,11.53
1272-31742,OR,-18.6,11.57
1422-02220,OR,-24.48,8.13
1422-0222,OR,-22.55,14.92
1422-02251,OR,-22.24,14.89
1422-02216,OR,-24.51,7.05
1272-31742,OR,-19.12,11.45
